2023-07-05,2023186,35,24,4,27,47,18,+,1,蛇,龙,鼠,牛,蛇,狗,,兔,木,金,土,水,土,土,,金,,155,单,4:3,                    奇,偶,偶,奇,奇,偶                ,43,<a href=/newam6hc-kjjg-2023186.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-07-04,2023185,31,7,29,3,46,18,+,8,鸡,鸡,猪,牛,马,狗,,猴,金,火,火,土,火,土,,火,,134,双,4:3,                    奇,奇,奇,奇,偶,偶                ,43,<a href=/newam6hc-kjjg-2023185.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-07-03,2023184,25,8,21,19,43,22,+,36,兔,猴,羊,鸡,鸡,马,,龙,土,火,木,水,木,木,,木,,138,双,4:3,                    奇,偶,奇,奇,奇,偶                ,35,<a href=/newam6hc-kjjg-2023184.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-07-02,2023183,16,3,25,23,49,37,+,43,鼠,牛,兔,蛇,兔,兔,,鸡,火,土,土,金,水,火,,木,,153,单,6:1,                    偶,奇,奇,奇,奇,奇                ,46,<a href=/newam6hc-kjjg-2023183.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-07-01,2023182,1,4,41,18,29,32,+,8,兔,鼠,猪,狗,猪,猴,,猴,金,土,水,土,火,金,,火,,125,单,3:4,                    奇,偶,奇,偶,奇,偶                ,40,<a href=/newam6hc-kjjg-2023182.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-30,2023181,32,2,17,45,8,19,+,23,猴,虎,猪,羊,猴,鸡,,蛇,金,金,土,火,火,水,,金,,123,单,4:3,                    偶,偶,奇,奇,偶,奇                ,43,<a href=/newam6hc-kjjg-2023181.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-29,2023180,48,24,40,16,38,22,+,34,龙,龙,鼠,鼠,虎,马,,马,土,金,金,火,火,木,,土,,188,双,0:7,                    偶,偶,偶,偶,偶,偶                ,32,<a href=/newam6hc-kjjg-2023180.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-28,2023179,48,28,35,7,25,3,+,4,龙,鼠,蛇,鸡,兔,牛,,鼠,土,水,木,火,土,土,,土,,146,双,4:3,                    偶,偶,奇,奇,奇,奇                ,45,<a href=/newam6hc-kjjg-2023179.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-27,2023178,35,21,10,18,14,36,+,2,蛇,羊,马,狗,虎,龙,,虎,木,木,金,土,木,木,,金,,134,双,2:5,                    奇,奇,偶,偶,偶,偶                ,26,<a href=/newam6hc-kjjg-2023178.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-26,2023177,33,24,40,32,34,1,+,44,羊,龙,鼠,猴,马,兔,,猴,土,金,金,金,土,金,,木,,164,双,2:5,                    奇,偶,偶,偶,偶,奇                ,39,<a href=/newam6hc-kjjg-2023177.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-25,2023176,26,43,37,45,46,2,+,32,虎,鸡,兔,羊,马,虎,,猴,土,木,火,火,火,金,,金,,199,单,3:4,                    偶,奇,奇,奇,偶,偶                ,44,<a href=/newam6hc-kjjg-2023176.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-24,2023175,30,37,12,44,24,20,+,6,狗,兔,龙,猴,龙,猴,,狗,火,火,水,木,金,水,,木,,167,单,1:6,                    偶,奇,偶,偶,偶,偶                ,32,<a href=/newam6hc-kjjg-2023175.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-23,2023174,34,20,12,19,28,18,+,41,马,猴,龙,鸡,鼠,狗,,猪,土,水,水,水,水,土,,水,,131,单,2:5,                    偶,偶,偶,奇,偶,偶                ,22,<a href=/newam6hc-kjjg-2023174.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-22,2023173,40,10,8,31,9,25,+,36,鼠,马,猴,鸡,羊,兔,,龙,金,金,火,金,金,土,,木,,123,单,3:4,                    偶,偶,偶,奇,奇,奇                ,32,<a href=/newam6hc-kjjg-2023173.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-21,2023172,38,40,3,31,33,8,+,12,虎,鼠,牛,鸡,羊,猴,,龙,火,金,土,金,土,火,,水,,153,单,3:4,                    偶,偶,奇,奇,奇,偶                ,37,<a href=/newam6hc-kjjg-2023172.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-20,2023171,39,35,48,47,41,9,+,10,牛,蛇,龙,蛇,猪,羊,,马,金,木,土,土,水,金,,金,,219,单,5:2,                    奇,奇,偶,奇,奇,奇                ,39,<a href=/newam6hc-kjjg-2023171.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-19,2023170,15,31,34,24,5,1,+,10,牛,鸡,马,龙,猪,兔,,马,火,金,土,金,木,金,,金,,110,双,4:3,                    奇,奇,偶,偶,奇,奇                ,33,<a href=/newam6hc-kjjg-2023170.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-18,2023169,46,42,2,26,32,30,+,4,马,狗,虎,虎,猴,狗,,鼠,火,水,金,土,金,火,,土,,182,双,0:7,                    偶,偶,偶,偶,偶,偶                ,44,<a href=/newam6hc-kjjg-2023169.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-17,2023168,18,29,21,33,42,49,+,12,狗,猪,羊,羊,狗,兔,,龙,土,火,木,土,水,水,,水,,192,双,4:3,                    偶,奇,奇,奇,偶,奇                ,31,<a href=/newam6hc-kjjg-2023168.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-16,2023167,49,31,1,15,18,32,+,46,兔,鸡,兔,牛,狗,猴,,马,水,金,金,火,土,金,,火,,146,双,4:3,                    奇,奇,奇,奇,偶,偶                ,48,<a href=/newam6hc-kjjg-2023167.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-15,2023166,27,41,7,4,25,17,+,6,牛,猪,鸡,鼠,兔,猪,,狗,水,水,火,土,土,土,,木,,121,单,5:2,                    奇,奇,奇,偶,奇,奇                ,37,<a href=/newam6hc-kjjg-2023166.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-14,2023165,14,22,1,5,40,16,+,17,虎,马,兔,猪,鼠,鼠,,猪,木,木,金,木,金,火,,土,,98,双,3:4,                    偶,偶,奇,奇,偶,偶                ,39,<a href=/newam6hc-kjjg-2023165.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-13,2023164,15,42,4,26,2,30,+,10,牛,狗,鼠,虎,虎,狗,,马,火,水,土,土,金,火,,金,,119,单,1:6,                    奇,偶,偶,偶,偶,偶                ,40,<a href=/newam6hc-kjjg-2023164.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-12,2023163,35,31,39,30,6,44,+,37,蛇,鸡,牛,狗,狗,猴,,兔,木,金,金,火,木,木,,火,,185,单,4:3,                    奇,奇,奇,偶,偶,偶                ,38,<a href=/newam6hc-kjjg-2023163.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-11,2023162,7,28,26,11,2,24,+,17,鸡,鼠,虎,蛇,虎,龙,,猪,火,水,土,水,金,金,,土,,98,双,3:4,                    奇,偶,偶,奇,偶,偶                ,26,<a href=/newam6hc-kjjg-2023162.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-10,2023161,41,19,34,12,15,44,+,5,猪,鸡,马,龙,牛,猴,,猪,水,水,土,水,火,木,,木,,165,单,4:3,                    奇,奇,偶,偶,奇,偶                ,32,<a href=/newam6hc-kjjg-2023161.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-09,2023160,22,45,1,3,24,17,+,42,马,羊,兔,牛,龙,猪,,狗,木,火,金,土,金,土,,水,,112,双,4:3,                    偶,奇,奇,奇,偶,奇                ,44,<a href=/newam6hc-kjjg-2023160.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-08,2023159,31,8,1,20,38,45,+,14,鸡,猴,兔,猴,虎,羊,,虎,金,火,金,水,火,火,,木,,143,单,3:4,                    奇,偶,奇,偶,偶,奇                ,44,<a href=/newam6hc-kjjg-2023159.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-07,2023158,29,38,49,48,18,10,+,4,猪,虎,兔,龙,狗,马,,鼠,火,火,水,土,土,金,,土,,192,双,2:5,                    奇,偶,奇,偶,偶,偶                ,39,<a href=/newam6hc-kjjg-2023158.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-06,2023157,48,3,33,49,35,46,+,44,龙,牛,羊,兔,蛇,马,,猴,土,土,土,水,木,火,,木,,214,双,4:3,                    偶,奇,奇,奇,奇,偶                ,46,<a href=/newam6hc-kjjg-2023157.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-05,2023156,4,22,37,1,25,46,+,43,鼠,马,兔,兔,兔,马,,鸡,土,木,火,金,土,火,,木,,135,单,4:3,                    偶,偶,奇,奇,奇,偶                ,45,<a href=/newam6hc-kjjg-2023156.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-04,2023155,38,36,42,40,23,21,+,7,虎,龙,狗,鼠,蛇,羊,,鸡,火,木,水,金,金,木,,火,,200,双,3:4,                    偶,偶,偶,偶,奇,奇                ,21,<a href=/newam6hc-kjjg-2023155.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-03,2023154,35,47,1,25,8,32,+,3,蛇,蛇,兔,兔,猴,猴,,牛,木,土,金,土,火,金,,土,,148,双,5:2,                    奇,奇,奇,奇,偶,偶                ,46,<a href=/newam6hc-kjjg-2023154.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-02,2023153,22,23,42,29,37,12,+,19,马,蛇,狗,猪,兔,龙,,鸡,木,金,水,火,火,水,,水,,165,单,4:3,                    偶,奇,偶,奇,奇,偶                ,30,<a href=/newam6hc-kjjg-2023153.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-06-01,2023152,32,23,19,41,29,17,+,12,猴,蛇,鸡,猪,猪,猪,,龙,金,金,水,水,火,土,,水,,161,单,5:2,                    偶,奇,奇,奇,奇,奇                ,24,<a href=/newam6hc-kjjg-2023152.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-31,2023151,15,29,43,16,35,33,+,30,牛,猪,鸡,鼠,蛇,羊,,狗,火,火,木,火,木,土,,火,,171,单,5:2,                    奇,奇,奇,偶,奇,奇                ,28,<a href=/newam6hc-kjjg-2023151.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-30,2023150,15,14,29,2,4,7,+,6,牛,虎,猪,虎,鼠,鸡,,狗,火,木,火,金,土,火,,木,,71,单,3:4,                    奇,偶,奇,偶,偶,奇                ,27,<a href=/newam6hc-kjjg-2023150.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-29,2023149,10,3,12,29,14,31,+,33,马,牛,龙,猪,虎,鸡,,羊,金,土,水,火,木,金,,土,,99,单,4:3,                    偶,奇,偶,奇,偶,奇                ,28,<a href=/newam6hc-kjjg-2023149.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-28,2023148,15,42,38,41,37,31,+,1,牛,狗,虎,猪,兔,鸡,,兔,火,水,火,水,火,金,,金,,204,双,5:2,                    奇,偶,偶,奇,奇,奇                ,27,<a href=/newam6hc-kjjg-2023148.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-27,2023147,9,11,29,47,30,8,+,22,羊,蛇,猪,蛇,狗,猴,,马,金,水,火,土,火,火,,木,,134,双,4:3,                    奇,奇,奇,奇,偶,偶                ,39,<a href=/newam6hc-kjjg-2023147.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-26,2023146,1,36,44,16,43,30,+,14,兔,龙,猴,鼠,鸡,狗,,虎,金,木,木,火,木,火,,木,,170,双,2:5,                    奇,偶,偶,偶,奇,偶                ,43,<a href=/newam6hc-kjjg-2023146.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-25,2023145,44,33,20,30,4,46,+,6,猴,羊,猴,狗,鼠,马,,狗,木,土,水,火,土,火,,木,,177,单,1:6,                    偶,奇,偶,偶,偶,偶                ,42,<a href=/newam6hc-kjjg-2023145.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-24,2023144,25,28,16,49,34,26,+,37,兔,鼠,鼠,兔,马,虎,,兔,土,水,火,水,土,土,,火,,178,双,3:4,                    奇,偶,偶,奇,偶,偶                ,33,<a href=/newam6hc-kjjg-2023144.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-23,2023143,41,32,44,12,46,25,+,29,猪,猴,猴,龙,马,兔,,猪,水,金,木,水,火,土,,火,,200,双,3:4,                    奇,偶,偶,偶,偶,奇                ,34,<a href=/newam6hc-kjjg-2023143.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-22,2023142,28,47,26,49,34,3,+,5,鼠,蛇,虎,兔,马,牛,,猪,水,土,土,水,土,土,,木,,187,单,4:3,                    偶,奇,偶,奇,偶,奇                ,46,<a href=/newam6hc-kjjg-2023142.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-21,2023141,49,36,41,19,15,14,+,17,兔,龙,猪,鸡,牛,虎,,猪,水,木,水,水,火,木,,土,,174,双,5:2,                    奇,偶,奇,奇,奇,偶                ,35,<a href=/newam6hc-kjjg-2023141.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-20,2023140,37,29,33,25,41,45,+,13,兔,猪,羊,兔,猪,羊,,兔,火,火,土,土,水,火,,木,,210,双,7:0,                    奇,奇,奇,奇,奇,奇                ,20,<a href=/newam6hc-kjjg-2023140.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-19,2023139,24,9,39,36,12,11,+,7,龙,羊,牛,龙,龙,蛇,,鸡,金,金,金,木,水,水,,火,,131,单,4:3,                    偶,奇,奇,偶,偶,奇                ,30,<a href=/newam6hc-kjjg-2023139.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-18,2023138,47,33,49,17,16,29,+,1,蛇,羊,兔,猪,鼠,猪,,兔,土,土,水,土,火,火,,金,,191,单,6:1,                    奇,奇,奇,奇,偶,奇                ,33,<a href=/newam6hc-kjjg-2023138.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-17,2023137,19,18,29,43,7,33,+,6,鸡,狗,猪,鸡,鸡,羊,,狗,水,土,火,木,火,土,,木,,149,单,5:2,                    奇,偶,奇,奇,奇,奇                ,36,<a href=/newam6hc-kjjg-2023137.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-16,2023136,4,43,31,32,3,24,+,14,鼠,鸡,鸡,猴,牛,龙,,虎,土,木,金,金,土,金,,木,,137,单,3:4,                    偶,奇,奇,偶,奇,偶                ,40,<a href=/newam6hc-kjjg-2023136.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-15,2023135,8,6,3,9,12,27,+,7,猴,狗,牛,羊,龙,牛,,鸡,火,木,土,金,水,水,,火,,65,单,4:3,                    偶,偶,奇,奇,偶,奇                ,24,<a href=/newam6hc-kjjg-2023135.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-14,2023134,31,19,15,45,36,2,+,9,鸡,鸡,牛,羊,龙,虎,,羊,金,水,火,火,木,金,,金,,148,双,5:2,                    奇,奇,奇,奇,偶,偶                ,43,<a href=/newam6hc-kjjg-2023134.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-13,2023133,30,6,15,26,13,12,+,43,狗,狗,牛,虎,兔,龙,,鸡,火,木,火,土,木,水,,木,,102,双,3:4,                    偶,偶,奇,偶,奇,偶                ,24,<a href=/newam6hc-kjjg-2023133.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-12,2023132,46,28,5,26,20,3,+,6,马,鼠,猪,虎,猴,牛,,狗,火,水,木,土,水,土,,木,,128,双,2:5,                    偶,偶,奇,偶,偶,奇                ,43,<a href=/newam6hc-kjjg-2023132.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-11,2023131,28,5,38,23,29,8,+,43,鼠,猪,虎,蛇,猪,猴,,鸡,水,木,火,金,火,火,,木,,131,单,4:3,                    偶,奇,偶,奇,奇,偶                ,33,<a href=/newam6hc-kjjg-2023131.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-10,2023130,40,14,24,18,7,32,+,21,鼠,虎,龙,狗,鸡,猴,,羊,金,木,金,土,火,金,,木,,135,单,2:5,                    偶,偶,偶,偶,奇,偶                ,33,<a href=/newam6hc-kjjg-2023130.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-09,2023129,7,46,34,15,45,14,+,35,鸡,马,马,牛,羊,虎,,蛇,火,火,土,火,火,木,,木,,161,单,4:3,                    奇,偶,偶,奇,奇,偶                ,39,<a href=/newam6hc-kjjg-2023129.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-08,2023128,20,7,14,12,23,47,+,31,猴,鸡,虎,龙,蛇,蛇,,鸡,水,火,木,水,金,土,,金,,123,单,4:3,                    偶,奇,偶,偶,奇,奇                ,40,<a href=/newam6hc-kjjg-2023128.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-07,2023127,5,42,30,20,28,24,+,2,猪,狗,狗,猴,鼠,龙,,虎,木,水,火,水,水,金,,金,,149,单,1:6,                    奇,偶,偶,偶,偶,偶                ,37,<a href=/newam6hc-kjjg-2023127.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-06,2023126,24,29,10,38,20,31,+,11,龙,猪,马,虎,猴,鸡,,蛇,金,火,金,火,水,金,,水,,152,双,3:4,                    偶,奇,偶,偶,偶,奇                ,28,<a href=/newam6hc-kjjg-2023126.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
2023-05-05,2023125,9,26,28,5,16,12,+,22,羊,虎,鼠,猪,鼠,龙,,马,金,土,水,木,火,水,,木,,96,双,2:5,                    奇,偶,偶,奇,偶,偶                ,23,<a href=/newam6hc-kjjg-2023125.htm style=font-weight:bold; target=_blank>详情</a><a href=https://www.55128.cn/zs/226_44019.htm style=font-weight:bold; color:#333 target=_blank>
